truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.02,200,14,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,14,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,800,14,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,14,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,15,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,16,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,16,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,800,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,17,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,19,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,21,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,22,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,22,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,22,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,23,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,23,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,400,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,24,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,24,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,800,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,24,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,100,25,-6.0,mix_-0.5_+1.0_w0.75,0.010624828263526075,0.11221544160342153
point_+0.0,0.02,200,25,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,25,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,25,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,25,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,100,26,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,29,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,30,-6.0,point_+0.0,0.0,0.0
